,MDS_x,MDS_y,country,iso_alpha,continent,tsne_x,tsne_y,scluster6,kmeans6
0,-7.066739267039131,1.8324958282719723,Afghanistan,AFG,Asia,4.1883087,8.425755,5,3
12,2.275011531911159,2.0667402429726702,Albania,ALB,Europe,-1.1850364,-5.4227033,1,5
24,-0.34592269853252716,0.9887913206331919,Algeria,DZA,Africa,0.15869953,-1.7435637,1,1
36,-6.760636100432125,-0.3896241655288495,Angola,AGO,Africa,4.8560915,8.682202,5,3
48,2.689348416817647,-1.5621572460047268,Argentina,ARG,Americas,-3.5067883,-7.859875,4,5
60,5.66374027005836,-5.70480869983566,Australia,AUS,Oceania,-6.46881,-12.477265,3,0
72,5.712787608731281,-4.970364964719019,Austria,AUT,Europe,-6.1376176,-11.757452,3,0
84,2.6280315396954004,-5.870208587434772,Bahrain,BHR,Asia,-7.400218,-11.872132,3,0
96,-3.3208713219772448,2.608690629347718,Bangladesh,BGD,Asia,1.5614114,4.322525,0,3
108,5.563197955350559,-5.227692545453519,Belgium,BEL,Europe,-6.2516766,-11.99742,3,0
120,-3.671681437858017,2.036163259098724,Benin,BEN,Africa,2.752598,4.5674334,0,3
132,-2.360395797212775,1.2756866727452394,Bolivia,BOL,Americas,1.6411681,2.052515,0,1
144,2.0911591237164324,2.134993749791005,Bosnia and Herzegovina,BIH,Europe,-1.2352515,-5.075094,1,5
156,-0.8956331874237178,3.3861195825388313,Botswana,BWA,Africa,3.8662715,1.8405507,0,1
168,0.6486975136417852,0.5777037726244687,Brazil,BRA,Americas,-0.5783187,-3.5105171,1,1
180,3.0407591213152645,0.5005207161510806,Bulgaria,BGR,Europe,-2.2134593,-7.125481,4,5
192,-4.840633870131154,2.193785354224304,Burkina Faso,BFA,Africa,3.286346,6.3936553,5,3
204,-4.99629129345981,2.5410353668772365,Burundi,BDI,Africa,4.296134,6.381924,5,3
216,-4.517139893993806,1.1376800813521808,Cambodia,KHM,Asia,1.2034177,5.7404003,0,3
228,-3.8543653462129384,1.4524198648329811,Cameroon,CMR,Africa,3.5867603,4.561041,0,3
240,5.941186799291345,-6.943134684941321,Canada,CAN,Americas,-6.428215,-13.0385065,3,0
252,-5.249395158030781,1.7330816144919752,Central African Republic,CAF,Africa,4.338894,6.390335,5,3
264,-4.293293343518919,1.9013012837549275,Chad,TCD,Africa,3.5304487,5.460107,5,3
276,2.270058611008016,0.41158289918394686,Chile,CHL,Americas,-2.4308908,-5.805336,4,5
288,0.3197596685030616,3.107725900917972,China,CHN,Asia,-1.632509,-1.6783108,1,1
300,0.9910005259356613,1.3388801995601964,Colombia,COL,Americas,-1.1698462,-3.9044473,1,1
312,-2.562534725190287,2.1572975045473917,Comoros,COM,Africa,1.4543662,2.9284828,0,3
324,-5.045523076395284,2.6264969578157924,"Congo, Dem. Rep.",COD,Africa,4.6923604,6.2888746,5,3
336,-2.556576517167586,0.6531310024221421,"Congo, Rep.",COG,Africa,3.342485,2.294578,0,3
348,2.9762592462375776,1.1277062708765666,Costa Rica,CRI,Americas,-1.7783225,-6.2782702,4,5
360,-3.92024476761411,0.9105442834090856,Cote d'Ivoire,CIV,Africa,4.1752677,4.404884,0,3
372,3.1741910597293637,-1.0330436016953801,Croatia,HRV,Europe,-3.2585845,-8.289991,4,5
384,3.542353914328225,0.46445609297527896,Cuba,CUB,Americas,-1.997364,-7.592586,4,5
396,3.8300756528614954,-3.580645611878707,Czech Republic,CZE,Europe,-4.582033,-10.733925,2,2
408,5.838752131454548,-6.408682144239624,Denmark,DNK,Europe,-6.189378,-12.8605795,3,0
420,-4.230317335574016,0.761487162861904,Djibouti,DJI,Africa,2.8097835,5.358004,0,3
432,0.24379909934738006,2.04309388572676,Dominican Republic,DOM,Americas,-1.02687,-2.3447573,1,1
444,0.7556622674795097,0.28094070319404224,Ecuador,ECU,Americas,-0.25216955,-3.5247726,1,1
456,-1.267031723490026,1.7569140315981262,Egypt,EGY,Africa,0.45863882,-0.03395038,0,1
468,-0.2798119874079437,0.6481019634544141,El Salvador,SLV,Americas,0.33578122,-2.213913,1,1
480,-5.362905172701904,2.407482401697246,Equatorial Guinea,GNQ,Africa,3.275695,7.6465487,5,3
492,-4.555809452995978,2.6026734698652465,Eritrea,ERI,Africa,2.6199708,6.374274,5,3
504,-5.0276932928590945,2.323380603025581,Ethiopia,ETH,Africa,3.3858485,6.686838,5,3
516,5.13906706803186,-3.9188993119058346,Finland,FIN,Europe,-5.6980624,-11.261577,2,2
528,5.650694267477713,-4.63840955754297,France,FRA,Europe,-5.8460546,-11.763161,3,0
540,-2.134912501217134,-3.206533719816935,Gabon,GAB,Africa,2.1865165,-2.6663322,0,4
552,-5.246093353087789,1.4385218595086067,Gambia,GMB,Africa,1.9570873,6.680915,5,3
564,5.421479779004392,-5.778686662365936,Germany,DEU,Europe,-6.059498,-12.300812,3,0
576,-2.6989596028868297,2.156601759366811,Ghana,GHA,Africa,2.086366,2.947226,0,3
588,4.9664315462606305,-2.1454011816007097,Greece,GRC,Europe,-5.101501,-9.941338,2,2
600,-1.052371808915264,1.0287531772790928,Guatemala,GTM,Americas,0.60973567,-1.0285223,1,1
612,-5.450411222537912,2.102634827783938,Guinea,GIN,Africa,2.7433043,7.253657,5,3
624,-6.632098118752562,2.0228383345927665,Guinea-Bissau,GNB,Africa,3.8742914,8.177423,5,3
636,-3.212095246836731,1.7294045015398782,Haiti,HTI,Americas,2.2082384,3.9184704,0,3
648,-0.7845251438655413,1.6372916427990147,Honduras,HND,Americas,0.11161899,-0.906858,1,1
660,6.238414179445842,-1.301394877481682,"Hong Kong, China",HKG,Asia,-6.094437,-9.777476,2,2
672,3.046535009910514,-2.105400222955291,Hungary,HUN,Europe,-3.66198,-8.839304,4,5
684,6.6263968685633055,-5.025225021249945,Iceland,ISL,Europe,-5.5079637,-12.277785,3,0
696,-2.2796713430183217,2.5801483270599417,India,IND,Asia,1.142049,2.2684364,0,1
708,-1.7590569649099224,2.7374665009550565,Indonesia,IDN,Asia,0.57557166,1.402697,0,1
720,-0.3012911174043147,-0.6036127120170586,Iran,IRN,Asia,0.8208218,-2.8415775,1,1
732,-1.0571522628086476,-2.2328461743099117,Iraq,IRQ,Asia,1.9593419,-2.6615434,0,4
744,5.677918613770198,-2.0024138302937153,Ireland,IRL,Europe,-5.8036556,-10.059579,2,2
756,4.887814989813067,-2.3972118427111853,Israel,ISR,Asia,-5.1220446,-10.147354,2,2
768,5.375809291716777,-3.1003801540624787,Italy,ITA,Europe,-5.5696535,-10.741299,2,2
780,2.6154888685141704,0.17201618694967183,Jamaica,JAM,Americas,-2.3413815,-6.9176617,4,5
792,6.424118144301297,-2.769980614356737,Japan,JPN,Asia,-6.0811934,-10.652484,2,2
804,-0.20788518379293602,1.7787793095396511,Jordan,JOR,Asia,-0.4468899,-1.3616974,1,1
816,-2.6581304496643146,1.8405754337055955,Kenya,KEN,Africa,3.1461792,2.7648404,0,3
828,0.9670166006510249,2.2711226399214786,"Korea, Dem. Rep.",KOR,Asia,-1.3538715,-3.5136666,1,1
840,2.5807749238033946,1.8553452291533443,"Korea, Rep.",KOR,Asia,-2.7969615,-4.168892,1,1
852,1.6782095692797667,-0.7571207396371026,Lebanon,LBN,Asia,-3.1018639,-6.7015777,4,5
864,-3.205442276060311,3.3881211326238527,Lesotho,LSO,Africa,4.064748,3.5750034,0,3
876,-5.920556331855976,1.6053227875790197,Liberia,LBR,Africa,4.7165103,7.1099787,5,3
888,-0.5547961194817954,-4.500156197395618,Libya,LBY,Africa,-4.5101824,-4.044474,0,4
900,-3.9338532566347095,1.8741485213226605,Madagascar,MDG,Africa,2.357909,5.171721,0,3
912,-5.380856120451028,2.274083388021228,Malawi,MWI,Africa,3.885154,6.959455,5,3
924,1.3134426342136176,1.3484576784422506,Malaysia,MYS,Asia,-1.7614452,-4.0542154,1,1
936,-5.3525643778393555,2.187002156782427,Mali,MLI,Africa,3.0727203,7.150597,5,3
948,-2.575654418274065,2.246916295728261,Mauritania,MRT,Africa,1.4971112,2.9053552,0,3
960,1.4024237637787411,1.4073587682146975,Mauritius,MUS,Africa,-1.4569864,-4.3797927,1,1
972,1.671910287699467,-0.28795770495051687,Mexico,MEX,Americas,-2.7515454,-5.766627,4,5
984,-1.5433843429067222,2.1826325029914737,Mongolia,MNG,Asia,1.0442095,0.9165143,0,1
996,3.230650670708891,0.06691873005291019,Montenegro,MNE,Europe,-2.442508,-7.5650616,4,5
1008,-0.9197722947969655,1.9575142246257706,Morocco,MAR,Africa,0.225164,-0.44752687,1,1
1020,-6.273409234709339,2.116074236826405,Mozambique,MOZ,Africa,4.191667,7.749571,5,3
1032,-2.3193424634525397,2.8185609978717983,Myanmar,MMR,Asia,1.4772716,2.2881746,0,3
1044,-2.2015741324152875,0.4379174939168229,Namibia,NAM,Africa,3.3181586,2.004336,0,1
1056,-3.521091066440615,2.732984965542593,Nepal,NPL,Asia,1.5458102,4.7239056,0,3
1068,6.300633959123359,-6.141952795838519,Netherlands,NLD,Europe,-5.846296,-12.82414,3,0
1080,4.526720388566874,-5.765963784983148,New Zealand,NZL,Oceania,-6.871402,-12.330268,3,0
1092,-0.7405136845898177,0.8025943562177082,Nicaragua,NIC,Americas,0.609277,-1.5355841,1,1
1104,-5.130011698744055,1.93941372711883,Niger,NER,Africa,2.778737,6.926338,5,3
1116,-5.286903071309833,1.5758436327790222,Nigeria,NGA,Africa,4.036438,6.8110323,5,3
1128,7.23661183237691,-7.755511612847971,Norway,NOR,Europe,-5.635889,-13.409857,3,0
1140,3.0906109551854866,3.025710098827335,Oman,OMN,Asia,-3.2613592,-3.0245864,1,4
1152,-1.8838354631487249,2.2571745606693905,Pakistan,PAK,Asia,1.2805448,1.516088,0,1
1164,2.25087249259782,0.761724366662628,Panama,PAN,Americas,-1.9768848,-5.964436,4,5
1176,1.884686347456868,2.0854916079309844,Paraguay,PRY,Americas,-0.8150777,-5.2724643,1,5
1188,-0.3552212674702738,0.0065037786682370135,Peru,PER,Americas,0.68765825,-2.405587,1,1
1200,-0.029478466767206963,2.186437489280517,Philippines,PHL,Asia,-1.0672948,-2.0419767,1,1
1212,3.1439379652794437,-0.6243977625032865,Poland,POL,Europe,-3.0736792,-7.783501,4,5
1224,3.8590931280216765,-0.9975593953127073,Portugal,PRT,Europe,-4.678655,-8.799573,2,2
1236,4.356123170878697,-0.8952200703696727,Puerto Rico,PRI,Americas,-4.4964657,-8.974638,2,2
1248,1.8588936065616781,1.0986348326229425,Reunion,REU,Africa,-1.8673748,-5.178307,1,5
1260,2.499979719078965,-0.40258876573581137,Romania,ROU,Europe,-2.8102138,-7.305997,4,5
1272,-6.806899644287475,0.4104429645778582,Rwanda,RWA,Africa,5.506643,7.3481827,5,3
1284,-1.0059042923568506,2.362436537790994,Sao Tome and Principe,STP,Africa,1.1318784,0.14202225,0,1
1296,0.2855149524630075,-7.779363047962235,Saudi Arabia,SAU,Asia,-8.109345,-11.296941,3,4
1308,-3.0187086145843782,2.0235302242713664,Senegal,SEN,Africa,1.6031421,3.6779382,0,3
1320,2.5014151759249694,-1.7366657408478374,Serbia,SRB,Europe,-3.0645716,-8.403437,4,5
1332,-7.313356242510987,1.5272553907444484,Sierra Leone,SLE,Africa,4.4495697,8.451393,5,3
1344,6.600821199711935,-0.6214407342966128,Singapore,SGP,Asia,-6.3240576,-9.601802,2,2
1356,3.3796113050544543,-1.7985041844623004,Slovak Republic,SVK,Europe,-3.6450264,-8.753032,4,5
1368,4.193828385716779,-2.755042380715748,Slovenia,SVN,Europe,-4.719364,-10.175789,2,2
1380,-6.12015710266232,1.4714059819466776,Somalia,SOM,Africa,4.3659744,7.6476283,5,3
1392,-1.7142560217374485,-1.3419296897615693,South Africa,ZAF,Africa,-0.95607877,0.49699897,0,1
1404,5.2170353048822475,-1.8790936512578278,Spain,ESP,Europe,-5.302921,-9.827228,2,2
1416,1.61467307527006,2.8215025295126477,Sri Lanka,LKA,Asia,-0.7097827,-4.814581,1,1
1428,-3.6891511987211536,1.67600710253724,Sudan,SDN,Africa,2.4241786,4.763159,0,3
1440,-3.7745636364047614,0.09020569321023317,Swaziland,SWZ,Africa,4.2491145,3.4267879,0,3
1452,6.190228258183052,-5.43563264402237,Sweden,SWE,Europe,-5.7344823,-12.459997,3,0
1464,6.873120894987211,-9.930191678726198,Switzerland,CHE,Europe,-6.3906493,-13.893223,3,0
1476,0.2029347201792915,1.8682974232498535,Syria,SYR,Asia,-0.7456306,-2.0073211,1,1
1488,4.3690669634951504,1.0773190020859056,Taiwan,TWN,Asia,-5.2341022,-7.894576,2,2
1500,-4.077557448791706,2.222367490190408,Tanzania,TZA,Africa,3.974605,5.156011,5,3
1512,0.48943902635099784,2.272045514732029,Thailand,THA,Asia,-1.3497498,-2.8506317,1,1
1524,-2.8421920869715285,2.133882112672398,Togo,TGO,Africa,2.1762266,3.1186697,0,3
1536,2.1444929937753456,-0.4089500308084926,Trinidad and Tobago,TTO,Americas,-2.9636672,-6.892234,4,5
1548,0.09476566754429236,1.9046557359218617,Tunisia,TUN,Africa,-0.7383925,-1.6154275,1,1
1560,-0.1605146790599994,1.1973987571798366,Turkey,TUR,Europe,-0.18301721,-2.1260765,1,1
1572,-4.148489603434678,2.5691350508269655,Uganda,UGA,Africa,4.4070086,5.2572484,5,3
1584,5.26282941849125,-5.663039444960657,United Kingdom,GBR,Europe,-6.5627627,-12.345004,3,0
1596,5.956377884685511,-8.923790730277924,United States,USA,Americas,-6.223068,-13.642786,3,0
1608,3.469298433489228,-0.054429174243528514,Uruguay,URY,Americas,-2.414333,-7.9312987,4,5
1620,1.8751822481568485,-2.850466858784981,Venezuela,VEN,Americas,-4.044535,-7.614814,4,5
1632,-0.9382679877749783,3.1263373371836125,Vietnam,VNM,Asia,0.15207098,0.3522682,0,1
1644,0.034244986247107465,1.6170690079953811,West Bank and Gaza,PSE,Asia,-0.48454645,-1.6746693,1,1
1656,-4.325181123805922,1.6089488243292134,"Yemen, Rep.",YEM,Asia,1.6248119,5.7032447,0,3
1668,-5.118371027804031,0.263767461772617,Zambia,ZMB,Africa,5.0846786,5.4718866,5,3
1680,-2.2355417089210285,4.255570078058246,Zimbabwe,ZWE,Africa,0.27460414,3.874507,0,3
