,MDS_x,MDS_y,Entity,Code,Continent,tsne_x,tsne_y,scluster6,kmeans6
0,-7.763473249141071,0.5987176608768539,Afghanistan,AFG,Asia,-13.851586,-9.448803,4,4
15,-5.211207105115369,0.5508397202702209,Africa,,,-9.784039,-9.804787,4,4
30,1.8946520734644419,1.8937617761491428,Albania,ALB,Europe,5.156203,2.199728,0,2
45,-2.5484458993956163,3.678212413966574,Algeria,DZA,Africa,-0.5323071,-6.6407475,0,0
60,-7.663659849814523,-0.35230028309904493,Angola,AGO,Africa,-13.716332,-10.9576845,4,4
75,2.6263737369494486,0.7272103124702062,Antigua and Barbuda,ATG,North America,6.7171874,5.221595,3,3
90,2.703499890570141,-3.3390298895589976,Argentina,ARG,South America,11.839715,9.400594,2,1
105,3.3993493497520606,-0.15981889857283815,Armenia,ARM,Asia,7.525251,6.7499332,3,3
120,4.702460726101672,1.4773716213635104,Aruba,ABW,North America,6.6233845,8.580433,3,3
135,0.7299857855456802,0.9488309450042302,Asia,,,4.2371535,2.4291792,0,2
150,5.194776963236878,-3.964311777343652,Australia,AUS,Oceania,13.181403,11.694846,2,1
165,7.47415601702468,-6.53975094468994,Austria,AUT,Europe,16.517174,17.232592,5,5
180,1.241239486223351,0.9192741621212461,Azerbaijan,AZE,Asia,4.317096,3.0249636,0,2
195,2.4268953140275973,0.557781352346024,Bahamas,BHS,North America,6.731254,5.187201,3,3
210,0.3412581354388736,3.033899016494097,Bahrain,BHR,Asia,4.962352,-0.89725626,0,2
225,-1.8966329350817055,2.7348870885279495,Bangladesh,BGD,Asia,-0.27109793,-5.0291986,0,0
240,4.553606542439629,-0.3741618651172417,Barbados,BRB,North America,8.358108,8.81503,3,3
255,6.30366515220264,-3.7566443848253512,Belarus,BLR,Europe,13.315803,13.789653,2,1
270,7.085331081312892,-6.623988388204339,Belgium,BEL,Europe,16.070616,17.502853,5,5
285,-2.439618794961631,2.4244886347073193,Belize,BLZ,North America,-1.7347645,-4.9659724,0,0
300,-5.8620789739305375,-1.1371708277067596,Benin,BEN,Africa,-11.159848,-12.711407,4,4
315,-2.2961344176074325,2.984574615017874,Bhutan,BTN,Asia,-0.63740605,-5.6148696,0,0
330,-2.433805104975772,1.3569860092436057,Bolivia,BOL,South America,-3.1632314,-3.9291446,0,0
345,5.367461594766452,0.38724198648852837,Bosnia and Herzegovina,BIH,Europe,7.68367,8.907295,3,3
360,-2.6970419169607527,2.406484130369299,Botswana,BWA,Africa,-1.9727192,-4.997945,0,0
375,1.0273174140574226,2.0351247930380354,Brazil,BRA,South America,4.0742955,1.2397649,0,2
390,0.5758870675529805,2.268922417108785,Brunei,BRN,Asia,4.3804855,0.034911536,0,2
405,7.739775643827137,-4.394445132327504,Bulgaria,BGR,Europe,15.221113,15.118443,2,5
420,-6.878880849239476,-0.6272613557610475,Burkina Faso,BFA,Africa,-12.991067,-11.352199,4,4
435,-7.665136946757679,-0.18088305497927754,Burundi,BDI,Africa,-13.937255,-10.603832,4,4
450,-2.977041347641421,2.5260836449801474,Cambodia,KHM,Asia,-2.5875046,-5.6931777,0,0
465,-5.347802163570358,-0.7547874952945431,Cameroon,CMR,Africa,-10.33707,-11.914152,4,4
480,6.144255296613516,-2.260748465696942,Canada,CAN,North America,11.825149,12.243349,2,1
495,-2.860311319201334,2.8689616057288387,Cape Verde,CPV,Africa,-1.7931929,-6.0051146,0,0
510,1.1207048074334978,0.7968848572528804,Caribbean,,,4.5076613,3.246382,0,2
