,scluster7,Year,Median,BN
0,0,1950,19.252631421052634,6.699473684210527
1,0,1955,18.823684210526313,6.771236842105264
2,0,1960,18.263157789473684,6.840394736842105
3,0,1965,17.513157684210526,6.827684210526316
4,0,1970,17.21842097368421,6.677052631578948
5,0,1975,17.244736842105265,6.471289473684211
6,0,1980,17.394736868421052,6.2507631578947365
7,0,1985,17.61842102631579,5.816210526315789
8,0,1990,18.005263289473685,5.148684210526316
9,0,1995,18.597368421052632,4.432052631578948
10,0,2000,19.510526315789473,3.8043684210526316
11,0,2005,20.87105255263158,3.40628947368421
12,0,2010,22.355263184210525,3.170578947368421
13,0,2015,23.752631684210527,2.9627894736842104
14,0,2020,25.20000007894737,2.7632368421052633
15,1,1950,20.977586344827586,5.7973448275862065
16,1,1955,20.46724129310345,5.977758620689655
17,1,1960,19.674137896551724,6.088068965517241
18,1,1965,18.72413796551724,5.9046896551724135
19,1,1970,18.446551879310345,5.436275862068965
20,1,1975,18.93275848275862,4.837431034482759
21,1,1980,19.931034465517243,4.271931034482758
22,1,1985,20.970689672413794,3.843
23,1,1990,21.970689655172414,3.415241379310345
24,1,1995,23.148275862068964,2.997655172413793
25,1,2000,24.46724120689655,2.6596379310344824
26,1,2005,25.839655155172412,2.4581896551724136
27,1,2010,27.417241310344828,2.3841551724137933
28,1,2015,28.996551655172414,2.323706896551724
29,1,2020,30.58103448275862,2.224586206896552
30,2,1950,27.22941161764706,3.075823529411765
31,2,1955,27.679411911764706,3.076
32,2,1960,28.07647055882353,2.9678823529411766
33,2,1965,28.470588323529412,2.7360882352941176
34,2,1970,29.170588,2.510382352941176
35,2,1975,29.685293941176468,2.3290294117647057
36,2,1980,30.55882326470588,2.1473529411764707
37,2,1985,31.655882205882357,2.030970588235294
38,2,1990,32.98529388235294,1.8951470588235295
39,2,1995,34.43823526470588,1.7021176470588235
40,2,2000,35.914706205882354,1.5733235294117647
41,2,2005,37.35588194117647,1.6053529411764706
42,2,2010,38.67058814705882,1.6636176470588235
43,2,2015,39.98529411764706,1.6424117647058822
44,2,2020,41.279412,1.6259411764705884
45,3,1950,33.4000003125,2.3016875
46,3,1955,33.474999875,2.3470625
47,3,1960,34.125,2.442125
48,3,1965,34.0874995,2.4169375
49,3,1970,33.8500001875,2.168125
50,3,1975,33.893750875,1.8811875
51,3,1980,34.46875,1.720625
52,3,1985,35.393749625,1.7143125000000001
53,3,1990,36.1250003125,1.7128125
54,3,1995,36.9312504375,1.5963749999999999
55,3,2000,38.1749999375,1.5150000000000001
56,3,2005,39.4749995625,1.59525
57,3,2010,40.54374975,1.6603125
58,3,2015,41.5812505625,1.6465625
59,3,2020,42.4812500625,1.657375
60,4,1950,19.6999999,6.59422
61,4,1955,19.25600004,6.6204
62,4,1960,18.83600002,6.71636
63,4,1965,18.31800008,6.83444
64,4,1970,17.8660001,6.92054
65,4,1975,17.484,6.9572199999999995
66,4,1980,17.215999919999998,6.92384
67,4,1985,16.976,6.797720000000001
68,4,1990,16.90199986,6.544
69,4,1995,17.10000004,6.23682
70,4,2000,17.198,5.9507200000000005
71,4,2005,17.485999839999998,5.6482600000000005
72,4,2010,17.79799998,5.29524
73,4,2015,18.16599994,4.89686
74,4,2020,18.74600002,4.51214
75,5,1950,18.9,6.9544999999999995
76,5,1955,18.9,6.979
77,5,1960,18.5500005,6.95
78,5,1965,20.3500005,6.913
79,5,1970,22.3500005,6.782500000000001
80,5,1975,24.3000005,6.2855
81,5,1980,24.8000005,5.6555
82,5,1985,26.5999995,5.032
83,5,1990,27.700001,4.233499999999999
84,5,1995,28.3999995,3.503
85,5,2000,29.3,2.9400000000000004
86,5,2005,30.3999995,2.365
87,5,2010,31.8499995,1.9445
88,5,2015,32.3500005,1.7349999999999999
89,5,2020,32.95,1.5979999999999999
90,6,1950,21.308333375,5.146375
91,6,1955,21.025000000000002,5.104416666666666
92,6,1960,20.483333375,4.97
93,6,1965,19.995833375,4.521916666666667
94,6,1970,20.641666708333332,3.7925833333333334
95,6,1975,21.729166625,2.996958333333333
96,6,1980,23.8,2.4335
97,6,1985,25.695832874999997,2.2464166666666667
98,6,1990,27.81249975,2.099291666666667
99,6,1995,30.129166583333333,1.8829166666666666
100,6,2000,32.41666645833333,1.7109583333333334
101,6,2005,34.49583391666667,1.6437083333333333
102,6,2010,36.641667375000004,1.6297916666666667
103,6,2015,38.57916675,1.5938333333333334
104,6,2020,40.31250020833333,1.5567916666666666
