country,age,sex,MDS_x,MDS_y,tsne_x,tsne_y,scluster6,kmeans6,ms
Argentina,15-24 years,female,2.7989618341627467,-3.211800580846559,14.134146,-51.382793,4,1,0
Argentina,15-24 years,male,-0.7042443779677193,-3.7855585418452353,-4.793473,-10.169197,4,3,4
Argentina,25-34 years,female,3.274782867145667,-3.1365104463327858,14.750704,-50.226067,4,1,0
Argentina,25-34 years,male,0.07674770468823384,-3.645471251700236,-4.0268116,-10.507538,4,3,4
Argentina,35-54 years,female,3.0819984864857015,-3.1711003321898206,14.038592,-50.349087,4,1,0
Argentina,35-54 years,male,0.5095752247376801,-3.56496428549476,-1.4589174,-11.248934,4,1,4
Argentina,5-14 years,female,3.992530640711703,-3.023184775878297,21.211926,-49.884518,4,1,0
Argentina,5-14 years,male,3.924944157095342,-3.030463224612847,21.18772,-49.89007,4,1,0
Argentina,55-74 years,female,2.9421816617803938,-3.19379033388835,13.270475,-50.35352,4,1,0
Argentina,55-74 years,male,-1.291650164624796,-3.8805550146178693,-4.691348,-0.83735424,4,3,4
Argentina,75+ years,female,3.0036262734822268,-3.183716046455166,12.763562,-49.868618,4,1,0
Argentina,75+ years,male,-5.942948372115919,-4.596726082279795,8.858694,14.400461,4,3,31
Austria,15-24 years,female,2.0264187612486353,3.576860183156382,-34.189095,37.239048,4,0,1
Austria,15-24 years,male,-1.7638218101789607,2.998224450780319,-0.4803,46.756306,4,0,3
Austria,25-34 years,female,1.6359789691370712,3.5114374183862465,-33.922752,37.01757,4,0,1
Austria,25-34 years,male,-2.735883934243923,2.825252204786728,2.340341,46.830044,4,4,3
Austria,35-54 years,female,0.5273036423945137,3.343381961776187,-19.789215,49.58237,4,0,1
Austria,35-54 years,male,-5.181831282046328,2.424172921405875,8.887055,44.917976,4,4,3
Austria,5-14 years,female,3.0245881423434082,3.7090637663058357,-44.59745,36.548645,4,0,1
Austria,5-14 years,male,2.943556226382659,3.697657974025739,-44.598965,36.48366,4,0,1
Austria,55-74 years,female,-0.3792844599761889,3.214864035904456,-8.859124,47.107178,4,0,1
Austria,55-74 years,male,-7.705510300509654,2.0985447426018893,18.474869,38.223316,4,4,5
Austria,75+ years,female,-2.436569849566141,2.8761987796405557,1.8481481,46.82787,4,0,3
Austria,75+ years,male,-21.28323346831088,0.2580365234123123,30.797033,24.84019,3,2,18
Belgium,15-24 years,female,1.7909170702775599,3.0344743910559595,-34.89373,36.20636,4,0,1
Belgium,15-24 years,male,-1.4915765938883354,2.530470235699223,-2.0249703,46.92378,4,0,3
Belgium,25-34 years,female,1.0062983075406977,2.9193797081332358,-21.327194,50.45059,4,0,1
Belgium,25-34 years,male,-4.637339684733026,2.015909358294197,8.186951,45.055344,4,4,3
Belgium,35-54 years,female,-1.0609048998958814,2.608761103359499,-4.9389515,47.440544,4,0,10
Belgium,35-54 years,male,-7.696160135018406,1.5353120289754665,16.67698,39.35433,4,4,5
Belgium,5-14 years,female,3.0537574829261134,3.2174521072760713,-44.545918,34.30216,4,0,1
Belgium,5-14 years,male,2.958702748332554,3.2037696940381157,-44.581837,34.229614,4,0,1
Belgium,55-74 years,female,-0.9875651547826294,2.61987722753198,-4.9977145,47.597176,4,0,10
Belgium,55-74 years,male,-6.235343545673941,1.795390952310967,15.962768,39.76075,4,4,5
Belgium,75+ years,female,-0.5893774390255656,2.6855008677601644,-7.0580997,47.186825,4,0,10
Belgium,75+ years,male,-12.933613894130373,0.9471724188038888,24.641272,34.085255,2,4,15
Brazil,15-24 years,female,3.572536987855238,-3.5973876259601325,24.81729,-39.51334,4,1,0
Brazil,15-24 years,male,2.217440397218834,-3.7845211640329017,14.982564,-17.17798,4,1,0
Brazil,25-34 years,female,3.549631691730212,-3.5995985209997396,24.100016,-39.488815,4,1,0
Brazil,25-34 years,male,1.3722283354895697,-3.9052198485389424,0.70650935,-13.8707905,4,1,0
Brazil,35-54 years,female,3.3891972928285097,-3.621504478186324,24.181263,-38.10173,4,1,0
Brazil,35-54 years,male,1.1520262661114757,-3.9401613498074406,0.43490508,-13.41571,4,1,0
Brazil,5-14 years,female,4.101884474115944,-3.520896202277837,27.53063,-45.029583,4,1,0
Brazil,5-14 years,male,4.087041774316781,-3.5227782902668405,27.53448,-45.016537,4,1,0
Brazil,55-74 years,female,3.454264645804903,-3.6121412768691634,23.814482,-38.742195,4,1,0
Brazil,55-74 years,male,0.7895632257839338,-3.9974980481925706,-0.070604905,-12.628098,4,1,0
Brazil,75+ years,female,3.490862598475196,-3.6082574420586075,25.046793,-38.65348,4,1,0
Brazil,75+ years,male,-1.0804694083331734,-4.296365975908624,-3.584159,-0.7574194,4,3,4
Chile,15-24 years,female,2.782535292449794,-3.266283256672374,14.562655,-41.873447,4,1,0
Chile,15-24 years,male,-0.8309065402061124,-3.8190793361533526,-5.5747104,-9.717452,4,3,4
Chile,25-34 years,female,2.898856003514344,-3.246725358915853,15.100626,-41.483627,4,1,0
Chile,25-34 years,male,-2.137437209455818,-4.012599874373744,-9.117439,-7.6828074,4,3,4
Chile,35-54 years,female,2.77870008161848,-3.2602737172028933,14.47223,-41.129005,4,1,0
Chile,35-54 years,male,-2.2841779666622206,-4.033561668949843,-9.521409,-7.866932,4,3,4
Chile,5-14 years,female,3.933172412171355,-3.0857704069167586,24.231796,-46.89677,4,1,0
Chile,5-14 years,male,3.837106096674604,-3.0998858923850916,24.186493,-46.89436,4,1,0
Chile,55-74 years,female,3.154429116956911,-3.2019875556909367,16.564983,-41.426365,4,1,0
Chile,55-74 years,male,-2.721028085749746,-4.074465919695265,-9.858508,-7.2603045,4,3,4
Chile,75+ years,female,3.3635578342152015,-3.167050579989376,17.220112,-41.423676,4,1,0
